global_task_id,station_name,local_task_id,data_size_byte,compute_density_FLOPs_per_byte,delay_sensitivity,memory_usage_byte,deadline_second,sampling_rate_Hz,task_type,priority,dependency_task_id
0,M93,0,1320943.23,3.1e-05,1.2394,1053963.55,1197.09,200.0,signal_enhancement,low,
1,M93,1,1191075.64,3e-05,0.753,2346673.07,1968.61,200.0,denoising,low,
2,M93,2,1361779.75,3.8e-05,0.9186,1672838.64,1505.96,200.0,signal_enhancement,low,
3,M93,3,473679.64,2.5e-05,2.5096,1716442.04,660.41,200.0,denoising,low,
4,M93,4,800677.92,3.1e-05,1.1324,1960409.39,762.76,200.0,signal_enhancement,low,
5,M93,5,1436854.33,4.7e-05,1.8732,1094824.66,1377.56,200.0,denoising,low,
6,M93,6,1774314.31,2e-05,1.015,2582754.16,1552.5,200.0,signal_enhancement,low,
7,M93,7,1561968.87,3.1e-05,1.8062,1637255.95,844.09,200.0,denoising,low,
8,M93,8,1498209.68,4e-05,1.8892,1996381.44,1338.41,200.0,denoising,low,
9,M93,9,1158445.01,2.6e-05,0.9485,1093102.54,1476.11,200.0,denoising,low,
10,M93,0,671040.4,0.000293,1.9635,1611606.13,1558.07,200.0,signal_enhancement,low,
11,M93,1,1955979.28,0.000105,1.4114,1428746.79,1100.8,200.0,denoising,low,
12,M93,2,730778.06,0.000229,1.2898,1702488.17,1242.23,200.0,denoising,low,
13,M93,3,1608973.11,0.000263,3.0827,1920035.75,1665.27,200.0,signal_enhancement,low,
14,M93,4,619498.09,0.000209,2.3764,1660422.64,1443.07,200.0,signal_enhancement,low,
15,M93,5,1538137.97,0.000363,2.3143,2466736.82,1410.09,200.0,signal_enhancement,low,1.0
16,M93,6,1004375.37,0.00022,3.5105,1470280.87,483.75,200.0,denoising,low,
17,M93,7,1941302.8,0.000323,1.0356,1529273.51,2063.65,200.0,signal_enhancement,low,
18,M93,8,1054165.92,0.000247,2.5598,1501808.21,940.22,200.0,denoising,low,
19,M93,9,1114434.52,0.000228,3.0856,1091896.44,1248.96,200.0,denoising,low,
20,M93,0,1636918.96,0.000123,3.4029,1746748.05,1372.86,200.0,signal_enhancement,low,
21,M93,1,1050578.53,9.1e-05,1.6775,1414938.86,1003.55,200.0,denoising,low,
22,M93,2,1862943.48,8e-05,2.626,1257671.85,1001.56,200.0,signal_enhancement,low,
23,M93,3,1098897.63,0.00016,2.6639,1368214.54,928.55,200.0,denoising,low,
24,M93,4,1204401.96,0.000173,1.9618,1442461.87,1188.45,200.0,signal_enhancement,low,
25,M93,5,1813407.65,8.8e-05,3.6973,1400918.15,1458.03,200.0,denoising,low,1.0
26,M93,6,1351659.54,0.000125,2.8044,2044240.94,874.64,200.0,signal_enhancement,low,
27,M93,7,1528435.0,0.000119,3.9377,1181600.66,1423.02,200.0,denoising,low,
28,M93,8,1771036.99,0.000149,1.3265,2010820.5,1247.23,200.0,denoising,low,
29,M93,9,1249185.52,0.000118,1.6008,1783244.6,929.35,200.0,signal_enhancement,low,
30,M90,0,943843.76,5.4e-05,1.4417,1298745.62,565.47,200.0,signal_enhancement,low,
31,M90,1,976059.79,4.5e-05,1.3572,781132.24,1025.24,200.0,denoising,low,0.0
32,M90,2,1014401.03,5e-05,1.565,1436300.36,627.31,200.0,denoising,low,
33,M90,3,1436470.06,6.7e-05,1.3108,866149.12,1019.88,200.0,denoising,low,
34,M90,4,1671035.7,7.6e-05,1.5328,1554508.44,718.59,200.0,signal_enhancement,low,
35,M90,5,1351658.23,0.000101,2.0786,2081728.25,1501.36,200.0,denoising,low,
36,M90,6,558754.96,5.5e-05,1.5573,1703701.13,1341.21,200.0,denoising,low,3.0
37,M90,7,1195184.17,0.000124,1.5425,1539079.96,599.35,200.0,signal_enhancement,low,
38,M90,8,1827703.09,6e-05,1.8301,1755713.21,1376.5,200.0,signal_enhancement,low,
39,M90,9,1032653.62,3.7e-05,2.003,2210820.84,1507.39,200.0,denoising,low,
40,M88,0,1183745.04,0.000446,1.093,1431895.64,352.36,200.0,denoising,low,
41,M88,1,2113054.01,0.000173,1.3063,1584324.74,1072.97,200.0,denoising,low,0.0
42,M88,2,1420567.29,0.000277,1.7626,1896513.28,1138.69,200.0,signal_enhancement,low,
43,M88,3,933796.02,0.00047,0.8306,1179464.12,1278.34,200.0,denoising,low,
44,M88,4,379146.33,0.000245,0.9457,1848195.57,511.1,200.0,denoising,low,
45,M88,5,407877.86,0.00029,1.3583,1941126.51,1118.91,200.0,denoising,low,
46,M88,6,963727.94,0.000239,1.1764,2028043.32,1137.15,200.0,signal_enhancement,low,
47,M88,7,1678621.93,0.000307,1.7599,1680661.86,1171.8,200.0,denoising,low,
48,M88,8,1053939.3,0.000352,2.3306,1823350.17,1411.39,200.0,signal_enhancement,low,7.0
49,M88,9,958149.7,0.000203,1.5429,1183297.96,1193.53,200.0,signal_enhancement,low,
50,M94,0,916448.49,2.7e-05,1.8856,1014363.79,1491.04,200.0,denoising,low,
51,M94,1,1455563.34,5.6e-05,1.3911,2160144.05,1075.67,200.0,denoising,low,
52,M94,2,1964487.89,5.4e-05,1.1469,1440466.81,1515.83,200.0,denoising,low,
53,M94,3,1110652.63,4.1e-05,1.6145,2334222.91,882.38,200.0,denoising,low,
54,M94,4,1625323.17,4.8e-05,2.0823,2160428.64,1552.64,200.0,denoising,low,
55,M94,5,1030058.24,4.9e-05,1.4882,491873.81,1242.89,200.0,signal_enhancement,low,
56,M94,6,1305909.59,5.6e-05,1.357,2241647.56,1075.22,200.0,denoising,low,
57,M94,7,619857.49,6.8e-05,1.6324,1297314.91,1415.49,200.0,denoising,low,
58,M94,8,1839637.36,5.3e-05,1.889,2102847.4,218.12,200.0,denoising,low,
