seed,algorithm,task_count,avg_delay_ms,avg_energy_kj,high_priority_completion_rate,hpc_success_count,high_priority_count,avg_dtt_score,trust_violation_rate,edge_cpu_bw_utilization
1,DT-FedDQL,3000,30.2629,0.03234,100.0,131,131,0.8469,23.3,75.3777
1,FedDQL-Federated,3000,30.5952,0.032843,100.0,131,131,0.8411,21.2333,75.3484
1,Greedy,3000,49.6579,0.048233,23.6641,31,131,0.6337,78.9333,75.277
1,MILP,3000,58.1662,0.05794,48.855,64,131,0.5325,97.8,75.4118
1,Centralized DQN,3000,30.6708,0.032533,100.0,131,131,0.8436,23.0333,75.3536
1,Random Offloading,3000,52.3002,0.045344,11.4504,15,131,0.649,64.9667,75.2596
1,Local Only,3000,58.7828,0.059354,0.0,0,131,0.5154,100.0,0.0
7,DT-FedDQL,3000,30.2853,0.032297,100.0,131,131,0.8457,23.5333,75.3777
7,FedDQL-Federated,3000,30.8,0.032861,100.0,131,131,0.8399,23.8667,75.3484
7,Greedy,3000,49.6404,0.0482,19.084,25,131,0.6321,80.2,75.277
7,MILP,3000,58.33,0.057972,50.3817,66,131,0.5307,97.8,75.4118
7,Centralized DQN,3000,30.5742,0.032538,100.0,131,131,0.8433,22.0,75.3532
7,Random Offloading,3000,51.8205,0.045354,16.7939,22,131,0.6513,64.7,75.2297
7,Local Only,3000,59.0176,0.059354,0.0,0,131,0.5134,100.0,0.0
21,DT-FedDQL,3000,30.7688,0.032301,100.0,131,131,0.8433,26.6333,75.3777
21,FedDQL-Federated,3000,31.2822,0.032873,99.2366,130,131,0.8376,25.7333,75.3485
21,Greedy,3000,49.8191,0.048198,22.9008,30,131,0.6316,79.7667,75.277
21,MILP,3000,58.2849,0.057973,47.3282,62,131,0.5307,97.9,75.4118
21,Centralized DQN,3000,31.176,0.032534,100.0,131,131,0.8403,26.6333,75.3533
21,Random Offloading,3000,52.9243,0.045694,17.5573,23,131,0.6444,65.8667,75.2434
21,Local Only,3000,59.1085,0.059354,0.0,0,131,0.5127,99.9667,0.0
42,DT-FedDQL,3000,30.4196,0.032341,100.0,131,131,0.8472,20.0333,75.3777
42,FedDQL-Federated,3000,30.7692,0.032833,99.2366,130,131,0.8414,22.1333,75.3483
42,Greedy,3000,49.711,0.048182,20.6107,27,131,0.6314,79.6333,75.277
42,MILP,3000,58.2105,0.057945,48.0916,63,131,0.5315,97.8667,75.4118
42,Centralized DQN,3000,30.8566,0.032538,99.2366,130,131,0.8438,23.3667,75.3536
42,Random Offloading,3000,53.6615,0.045712,12.2137,16,131,0.6384,67.0,75.2473
42,Local Only,3000,58.916,0.059354,0.0,0,131,0.5144,100.0,0.0
84,DT-FedDQL,3000,30.4633,0.032354,100.0,131,131,0.847,23.9333,75.3777
84,FedDQL-Federated,3000,30.9843,0.03289,100.0,131,131,0.8408,23.7,75.3486
84,Greedy,3000,49.8616,0.048197,19.084,25,131,0.6308,79.6667,75.277
84,MILP,3000,58.1363,0.057926,55.7252,73,131,0.5327,97.5333,75.4118
84,Centralized DQN,3000,30.7973,0.032533,100.0,131,131,0.8436,23.9667,75.3533
84,Random Offloading,3000,52.9452,0.045346,16.0305,21,131,0.6463,65.4333,75.2327
84,Local Only,3000,58.848,0.059354,0.0,0,131,0.5149,100.0,0.0
