seed,algorithm,task_count,avg_delay_ms,avg_energy_kj,high_priority_completion_rate,avg_dtt_score,trust_violation_rate,edge_cpu_bw_utilization,scan_type,scale_value
42,DT-FedDQL,1000,20.7436,0.030993,100.0,0.8531,16.4,75.2848,task_count,1000
42,Greedy,1000,42.5954,0.057528,95.122,0.7088,94.0,76.3208,task_count,1000
42,Random Offloading,1000,57.217,0.045838,21.9512,0.6158,69.4,75.1338,task_count,1000
42,DT-FedDQL,2000,21.1008,0.031097,100.0,0.8532,14.8,75.3853,task_count,2000
42,Greedy,2000,43.0549,0.057781,92.7711,0.7035,94.45,76.2699,task_count,2000
42,Random Offloading,2000,58.3878,0.046433,26.506,0.609,70.7,75.2564,task_count,2000
42,DT-FedDQL,3000,20.947,0.030977,100.0,0.8532,15.3333,75.3777,task_count,3000
42,Greedy,3000,43.338,0.05775,84.7328,0.6991,94.5,76.0236,task_count,3000
42,Random Offloading,3000,59.5072,0.046526,29.771,0.6013,71.6333,75.2156,task_count,3000
42,DT-FedDQL,5000,20.9503,0.030998,100.0,0.8527,14.8,75.377,task_count,5000
42,Greedy,5000,43.4169,0.057766,84.3318,0.6978,94.7,75.9472,task_count,5000
42,Random Offloading,5000,59.1628,0.046331,28.5714,0.6032,71.1,75.2292,task_count,5000
5,DT-FedDQL,3000,20.8161,0.02962,100.0,0.8532,14.1667,75.3777,terminal_count,5
5,Greedy,3000,43.3867,0.057639,84.7328,0.6983,94.5667,76.0236,terminal_count,5
5,Random Offloading,3000,57.4386,0.045415,26.7176,0.6131,71.3667,75.1955,terminal_count,5
10,DT-FedDQL,3000,20.81,0.030386,100.0,0.8532,14.1667,75.3777,terminal_count,10
10,Greedy,3000,43.3821,0.057701,86.2595,0.6986,94.6667,76.0236,terminal_count,10
10,Random Offloading,3000,58.3732,0.045766,33.5878,0.6077,70.7,75.2413,terminal_count,10
20,DT-FedDQL,3000,21.3633,0.031415,100.0,0.8529,14.3,75.3777,terminal_count,20
20,Greedy,3000,43.2861,0.05779,84.7328,0.6999,94.6,76.0236,terminal_count,20
20,Random Offloading,3000,59.2313,0.0466,27.4809,0.6014,71.4,75.2194,terminal_count,20
50,DT-FedDQL,3000,21.5473,0.033571,100.0,0.853,15.3667,75.3777,terminal_count,50
50,Greedy,3000,43.3786,0.057983,80.916,0.6991,94.7,76.0236,terminal_count,50
50,Random Offloading,3000,59.1586,0.04817,29.0076,0.6034,72.0333,75.218,terminal_count,50
42,DT-FedDQL,3000,20.74,0.0309,100.0,0.8531,14.9,75.3777,dag_depth,1
42,DT-FedDQL,3000,21.18,0.0312,100.0,0.8528,15.4,75.3777,dag_depth,3
42,DT-FedDQL,3000,21.86,0.0318,99.62,0.8519,16.1,75.3777,dag_depth,5
