algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.0,0.00043308791684711995,0.00043308791684711995,1.0,0.996
DT-FedDQL,0.0,0.0008661758336942399,0.0008661758336942399,1.0,0.996
DT-FedDQL,0.0,0.00129926375054136,0.00129926375054136,1.0,0.996
DT-FedDQL,0.0,0.0017323516673884798,0.0017323516673884798,1.0,0.996
DT-FedDQL,0.0,0.0021654395842356,0.0021654395842356,1.0,0.996
DT-FedDQL,0.0,0.00259852750108272,0.00259852750108272,1.0,0.996
DT-FedDQL,0.0,0.0030316154179298397,0.0030316154179298397,1.0,0.996
DT-FedDQL,0.0,0.0034647033347769596,0.0034647033347769596,1.0,0.996
DT-FedDQL,0.0,0.0038977912516240795,0.0038977912516240795,1.0,0.996
DT-FedDQL,0.0,0.0043308791684712,0.0043308791684712,1.0,0.996
DT-FedDQL,0.0,0.004763967085318319,0.004763967085318319,1.0,0.996
DT-FedDQL,0.0,0.00519705500216544,0.00519705500216544,1.0,0.996
DT-FedDQL,0.0,0.00563014291901256,0.00563014291901256,1.0,0.996
DT-FedDQL,0.0,0.006063230835859679,0.006063230835859679,1.0,0.996
DT-FedDQL,0.0,0.0064963187527068,0.0064963187527068,1.0,0.996
DT-FedDQL,0.0,0.006929406669553919,0.006929406669553919,1.0,0.996
DT-FedDQL,0.0,0.0073624945864010395,0.0073624945864010395,1.0,0.996
DT-FedDQL,0.0,0.007795582503248159,0.007795582503248159,1.0,0.996
DT-FedDQL,0.0,0.00822867042009528,0.00822867042009528,1.0,0.996
DT-FedDQL,0.0,0.0086617583369424,0.0086617583369424,1.0,0.996
DT-FedDQL,0.0,0.009094846253789519,0.009094846253789519,1.0,0.996
DT-FedDQL,0.0,0.009527934170636639,0.009527934170636639,1.0,0.996
DT-FedDQL,0.0,0.00996102208748376,0.00996102208748376,1.0,0.996
DT-FedDQL,0.0,0.01039411000433088,0.01039411000433088,1.0,0.996
DT-FedDQL,0.0,0.010827197921177999,0.010827197921177999,1.0,0.996
DT-FedDQL,0.0,0.01126028583802512,0.01126028583802512,1.0,0.996
DT-FedDQL,0.0,0.01169337375487224,0.01169337375487224,1.0,0.996
DT-FedDQL,0.0,0.012126461671719359,0.012126461671719359,1.0,0.996
DT-FedDQL,0.0,0.012559549588566478,0.012559549588566478,1.0,0.996
DT-FedDQL,0.0,0.0129926375054136,0.0129926375054136,1.0,0.996
DT-FedDQL,0.0,0.013425725422260719,0.013425725422260719,1.0,0.996
DT-FedDQL,0.0,0.013858813339107838,0.013858813339107838,1.0,0.996
DT-FedDQL,0.0,0.01429190125595496,0.01429190125595496,1.0,0.996
DT-FedDQL,0.0,0.014724989172802079,0.014724989172802079,1.0,0.996
DT-FedDQL,0.0,0.015158077089649198,0.015158077089649198,1.0,0.996
DT-FedDQL,0.0,0.015591165006496318,0.015591165006496318,1.0,0.996
DT-FedDQL,0.0,0.01602425292334344,0.01602425292334344,1.0,0.996
DT-FedDQL,0.0,0.01645734084019056,0.01645734084019056,1.0,0.996
DT-FedDQL,0.0,0.016890428757037678,0.016890428757037678,1.0,0.996
DT-FedDQL,0.0,0.0173235166738848,0.0173235166738848,1.0,0.996
DT-FedDQL,0.0,0.017756604590731917,0.017756604590731917,1.0,0.996
DT-FedDQL,0.0,0.018189692507579038,0.018189692507579038,1.0,0.996
DT-FedDQL,0.0,0.01862278042442616,0.01862278042442616,1.0,0.996
