algorithm,gamma,dtt_below_gamma_rate_percent,constraint_violation_rate_percent,deadline_violation_rate_percent
DT-FedDQL,0.3,0.16666666666666669,20.033333333333335,20.033333333333335
DT-FedDQL,0.5,0.4,20.033333333333335,20.033333333333335
DT-FedDQL,0.7,0.9666666666666667,20.033333333333335,20.033333333333335
DT-FedDQL,0.8,4.1000000000000005,20.033333333333335,20.033333333333335
DT-FedDQL,0.9,95.63333333333334,95.63333333333334,20.033333333333335
FedDQL-Federated,0.3,0.5666666666666667,22.133333333333333,22.133333333333333
FedDQL-Federated,0.5,1.9,22.133333333333333,22.133333333333333
FedDQL-Federated,0.7,2.5,22.133333333333333,22.133333333333333
FedDQL-Federated,0.8,4.333333333333334,22.133333333333333,22.133333333333333
FedDQL-Federated,0.9,95.63333333333334,95.66666666666667,22.133333333333333
Greedy,0.3,2.9000000000000004,79.63333333333334,79.63333333333334
Greedy,0.5,13.5,79.63333333333334,79.63333333333334
Greedy,0.7,66.3,79.63333333333334,79.63333333333334
Greedy,0.8,71.66666666666667,79.63333333333334,79.63333333333334
Greedy,0.9,98.8,99.1,79.63333333333334
MILP,0.3,2.1,97.86666666666667,97.86666666666667
MILP,0.5,27.366666666666667,97.86666666666667,97.86666666666667
MILP,0.7,95.96666666666667,97.86666666666667,97.86666666666667
MILP,0.8,96.66666666666667,97.86666666666667,97.86666666666667
MILP,0.9,97.5,97.89999999999999,97.86666666666667
Centralized DQN,0.3,0.46666666666666673,23.366666666666667,23.366666666666667
Centralized DQN,0.5,1.0999999999999999,23.366666666666667,23.366666666666667
Centralized DQN,0.7,1.7333333333333332,23.366666666666667,23.366666666666667
Centralized DQN,0.8,4.266666666666667,23.366666666666667,23.366666666666667
Centralized DQN,0.9,95.63333333333334,95.66666666666667,23.366666666666667
Local Only,0.3,0.6333333333333333,100.0,100.0
Local Only,0.5,32.36666666666667,100.0,100.0
Local Only,0.7,99.96666666666667,100.0,100.0
Local Only,0.8,100.0,100.0,100.0
Local Only,0.9,100.0,100.0,100.0
Random Offloading,0.3,15.966666666666669,66.7,66.7
Random Offloading,0.5,26.266666666666666,66.7,66.7
Random Offloading,0.7,45.96666666666667,66.7,66.7
Random Offloading,0.8,55.93333333333334,66.7,66.7
Random Offloading,0.9,99.0,99.43333333333332,66.7
