Algorithm,Delay_ms,Energy_kJ_per_task,HPC_percent,DTT_score,Violation_percent,CPU_BW_util_percent
DT-FedDQL,30.4196,0.032341,100.0,0.8472,20.0333,75.3777
FedDQL-Federated,30.7692,0.032833,99.2366,0.8414,22.1333,75.3483
Greedy,49.711000000000006,0.048182,20.6107,0.6314,79.6333,75.277
Fuzzy DQL,57.5787,0.05798,51.145,0.5333,97.7,75.1307
FedServ,36.1157,0.042863,28.2443,0.7646,53.5667,75.2407
MILP-inspired,58.2105,0.057945,48.0916,0.5315,97.8667,75.4118
Centralized DQN,30.8566,0.032538,99.2366,0.8438,23.3667,75.3536
Round-Robin,33.6388,0.039922000000000006,16.0305,0.794,47.9333,75.2367
Local Only,58.916000000000004,0.059354,0.0,0.5144,100.0,0.0
Random Offloading,53.2251,0.045576,12.9771,0.6428,66.7,75.2107
