algorithm,terminal,edge_1,edge_2,edge_3,cloud,edge_utilisation_mean_percent,edge_rho_mean_percent
DT-FedDQL,0.0,64.4,32.03,3.57,0.0,16.4984,20.9873
FedDQL-Federated,1.8,63.43,31.17,3.6,0.0,16.0755,16.9404
Local Only,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Offloading,20.67,18.77,20.9,19.37,20.3,11.6551,15.0405
Greedy,58.87,37.8,0.0,0.0,3.33,6.0864,8.3035
FedServ,15.0,28.33,28.33,28.33,0.0,16.7596,17.9545
MILP,93.47,4.63,0.0,0.0,1.9,0.7277,6.6769
Centralized DQN,0.87,65.1,30.5,3.53,0.0,16.305,17.2937
Fuzzy DQL,95.23,4.77,0.0,0.0,0.0,0.6922,9.0339
Round-Robin,0.0,33.33,33.33,33.33,0.0,19.778,20.7099
