algorithm,task_count,avg_delay_ms,avg_queue_wait_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_rule_consistency,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
DT-FedDQL,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
FedDQL-Federated,3000,30.7692,8.1009,0.032833,0.7787,99.2366,99.2366,95.6989,98.1,98.1,60.4881,74.3691,76.3276,75.3483,0.8414,22.1333,99.2366,0,0.0,0,0.0,0.0
Local Only,3000,58.916,14.2224,0.059354,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.5144,100.0,0.0,0,0.0,0,0.0,0.0
Random Offloading,3000,53.2251,5.5515,0.045576,0.333,12.9771,12.9771,55.5556,,,60.4138,74.2464,76.1749,75.2107,0.6428,66.7,12.9771,0,0.0,0,0.0,0.0
Greedy,3000,49.711,11.527,0.048182,0.2037,20.6107,20.6107,0.0,,,60.4496,74.5438,76.0101,75.277,0.6314,79.6333,20.6107,0,0.0,0,0.0,0.0
FedServ,3000,36.1157,6.8836,0.042863,0.4643,28.2443,28.2443,96.4158,,,60.43,74.2527,76.2288,75.2407,0.7646,53.5667,28.2443,0,0.0,0,0.0,0.0
MILP,3000,58.2105,13.352,0.057945,0.0213,48.0916,48.0916,0.0,,,60.5224,74.7787,76.0449,75.4118,0.5315,97.8667,48.0916,0,0.0,0,0.0,0.0
Centralized DQN,3000,30.8566,8.3037,0.032538,0.7663,99.2366,99.2366,93.5484,,,60.4909,74.3824,76.3247,75.3536,0.8438,23.3667,99.2366,0,0.0,0,0.0,0.0
Fuzzy DQL,3000,57.5787,13.8694,0.05798,0.023,51.145,51.145,0.0,98.1,98.1,60.3706,74.1774,76.084,75.1307,0.5333,97.7,51.145,0,0.0,0,0.0,0.0
Round-Robin,3000,33.6388,6.9305,0.039922,0.5207,16.0305,16.0305,98.5663,,,60.4278,74.2582,76.2151,75.2367,0.794,47.9333,16.0305,0,0.0,0,0.0,0.0
