task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean,fuzzy_pred_action,task_count,avg_delay_ms,avg_queue_wait_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_rule_consistency,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
0,DT-FedDQL,3,edge_3,1,0,0.3,0,0,1,36.0542215105769,31.340523844424908,0.048280546916186655,0.7410553161551314,0.7544831009437439,1,0.046302849752599816,0.0019776971635868403,1.2597496318817138,0.8818247423171997,,,0,0.155,0.0,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
1,DT-FedDQL,3,edge_3,1,0,0.3,0,0,1,36.0729218836755,36.0076225752311,0.04962863249989515,0.7410212736985143,0.7519357828568102,1,0.04601177660735034,0.0036168558925448084,1.1358982467651366,0.7951287727355956,,,0,0.155,3.6560349513753176,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
2,DT-FedDQL,1,edge_1,1,0,0.3,0,0,1,36.14925695353124,23.240772457898444,0.029286752122329195,0.7412936133514515,0.7552840983750772,1,0.027868868449794103,0.001417883672535092,1.298694372177124,0.9090860605239868,,,0,0.155,0.0,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
3,DT-FedDQL,2,edge_2,1,0,0.3,0,0,1,35.22968697102192,25.139577512764305,0.03383042936113409,0.7408510614154286,0.737864251951417,1,0.033306063121600234,0.0005243662395338556,0.4517361068725586,0.316215274810791,,,0,0.155,0.0,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
4,DT-FedDQL,2,edge_2,1,0,0.3,0,0,1,35.73685205184709,22.180105317622857,0.035196351772033715,0.7410553161551314,0.7442782358641101,1,0.033876731891147045,0.0013196198808866685,0.7635859680175782,0.5345101776123047,,,0,0.155,2.2993428875691784,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
5,DT-FedDQL,2,edge_2,1,0,0.3,0,0,1,35.99499748691157,28.309076200547167,0.037126983901321506,0.7415999954610057,0.756756666207459,1,0.035013054713508025,0.0021139291878134784,1.3702910709381104,0.9592037496566772,,,0,0.155,3.9744954717414576,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
6,DT-FedDQL,2,edge_2,1,0,0.3,0,0,1,36.39844738560006,34.93839969250619,0.03751291995420024,0.7406808491323429,0.7633758535710675,1,0.03540188816477468,0.0021110317894255564,1.6921179866790772,1.184482590675354,,,0,0.155,6.9516694009889335,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
7,DT-FedDQL,2,edge_2,1,0,0.3,0,0,1,36.09107250072428,38.7041437335524,0.03737187796233514,0.7410553161551314,0.7592107544883026,0,0.035121108443163074,0.0022507695191720696,1.4896095943450929,1.042726716041565,,,0,0.155,11.688880642300353,2,edge_2,0,0,0.0,0.8,0.9324860084538478,0.845,1.0,0.7879506771435013,1,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
8,DT-FedDQL,1,edge_1,1,0,0.3,0,0,1,36.031704857811725,19.657696257290922,0.029520796768718494,0.7413616982646858,0.757960135008144,1,0.028056916254706746,0.001463880514011747,1.4288040924072265,1.0001628646850584,,,0,0.155,1.9516368405734332,2,edge_2,1,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.7911375525626562,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
9,DT-FedDQL,1,edge_1,1,0,0.3,0,0,1,36.009942555216526,24.569501508820355,0.028514165978860175,0.7408851038720458,0.7512957417658264,1,0.027545105832928234,0.0009690601459319401,1.1047792530059815,0.773345477104187,,,0,0.155,3.058974015948924,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,134975.8629,0.164984,0.31021,0.209873,0.342644,0.0,0.0,0,3000,30.4196,8.1287,0.032341,0.7697,100.0,100.0,97.1326,98.1,98.1,60.504,74.4316,76.3239,75.3777,0.8472,20.0333,100.0,74,2.4667,1,0.0333,0.0007
