algorithm,digital_twin_orchestration,time_s,epoch,phase_description,network_latency_ms,processing_time_ms,end_to_end_latency_ms,dtt_score,timeliness,reliability,availability,trust_violation_rate,high_priority_completion_rate,reorchestration_rate,task_count,bandwidth_min_mbps,bandwidth_max_mbps,trust_threshold
DT-FedDQL,1,0,R1,normal network and balanced edge load,13.7355,20.0791,33.8146,0.8209,0.9651,0.8504,1.0,28.5714,100.0,92.8571,28,75.0,100.0,0.8
DT-FedDQL,1,10,R1,normal network and balanced edge load,14.7053,20.213,34.9184,0.8182,0.954,0.8577,1.0,28.5714,50.0,89.2857,28,75.0,100.0,0.8
DT-FedDQL,1,20,R1,normal network and balanced edge load,14.3059,21.3498,35.6557,0.7884,0.9171,0.8614,1.0,53.5714,100.0,92.8571,28,75.0,100.0,0.8
DT-FedDQL,1,30,R1,normal network and balanced edge load,12.8695,20.1452,33.0147,0.8351,0.9735,0.8577,1.0,21.4286,100.0,85.7143,28,75.0,100.0,0.8
DT-FedDQL,1,40,R1,normal network and balanced edge load,13.4613,16.9122,30.3734,0.8621,0.9869,0.8738,1.0,3.5714,80.0,82.1429,28,75.0,100.0,0.8
DT-FedDQL,1,50,R1,normal network and balanced edge load,13.3531,19.9542,33.3073,0.8268,0.9574,0.8631,1.0,17.8571,100.0,89.2857,28,75.0,100.0,0.8
DT-FedDQL,1,60,R1,normal network and balanced edge load,13.1822,23.2106,36.3928,0.8006,0.9435,0.8488,1.0,35.7143,100.0,100.0,28,75.0,100.0,0.8
DT-FedDQL,1,70,R1,normal network and balanced edge load,14.2631,18.8916,33.1547,0.8301,0.9658,0.8595,1.0,17.8571,100.0,92.8571,28,75.0,100.0,0.8
DT-FedDQL,1,80,R1,normal network and balanced edge load,14.3508,19.7672,34.118,0.8231,0.9613,0.8558,1.0,25.0,100.0,92.8571,28,75.0,100.0,0.8
DT-FedDQL,1,90,R1,normal network and balanced edge load,14.2699,20.8607,35.1307,0.7992,0.9444,0.8469,1.0,39.2857,100.0,96.4286,28,75.0,100.0,0.8
DT-FedDQL,1,100,R1,normal network and balanced edge load,12.7324,20.3152,33.0477,0.8013,0.936,0.856,1.0,28.5714,100.0,96.4286,28,75.0,100.0,0.8
DT-FedDQL,1,110,R1,normal network and balanced edge load,14.3153,20.7398,35.0551,0.8128,0.9541,0.8523,1.0,32.1429,100.0,89.2857,28,75.0,100.0,0.8
DT-FedDQL,1,120,R1,normal network and balanced edge load,13.6986,21.1413,34.84,0.7821,0.9178,0.8523,1.0,35.7143,100.0,96.4286,28,75.0,100.0,0.8
DT-FedDQL,1,130,R1,normal network and balanced edge load,13.4999,22.5529,36.0528,0.7962,0.9384,0.8488,1.0,28.5714,100.0,100.0,28,75.0,100.0,0.8
DT-FedDQL,1,140,R1,normal network and balanced edge load,14.6347,21.502,36.1367,0.8023,0.9412,0.8523,1.0,42.8571,100.0,96.4286,28,75.0,100.0,0.8
DT-FedDQL,1,150,R1,normal network and balanced edge load,13.4771,19.8691,33.3463,0.8389,0.98,0.8558,1.0,17.8571,100.0,89.2857,28,75.0,100.0,0.8
DT-FedDQL,1,160,R1,normal network and balanced edge load,14.6772,18.8161,33.4934,0.8268,0.9539,0.8668,1.0,25.0,100.0,89.2857,28,75.0,100.0,0.8
DT-FedDQL,1,170,R1,normal network and balanced edge load,12.3602,19.6723,32.0326,0.824,0.9629,0.856,1.0,28.5714,100.0,92.8571,28,75.0,100.0,0.8
DT-FedDQL,1,180,R1,normal network and balanced edge load,14.2814,20.5526,34.8341,0.8056,0.9438,0.8541,1.0,32.1429,100.0,92.8571,28,75.0,100.0,0.8
