seed,algorithm,task_count,avg_delay_ms,avg_energy_kj,high_priority_completion_rate,hpc_success_count,high_priority_count,avg_dtt_score,trust_violation_rate,edge_cpu_bw_utilization
1,DT-FedDQL,3000,20.8917,0.031036,100.0,131,131,0.8529,14.9333,75.3777
1,FedDQL-Federated,3000,20.8911,0.031036,99.2366,130,131,0.8529,14.9667,75.3777
1,Greedy,3000,43.2801,0.057769,88.5496,116,131,0.6999,94.4333,76.0236
1,MILP,3000,44.8192,0.057993,87.0229,114,131,0.6905,95.3667,75.4118
1,Centralized DQN,3000,45.2479,0.059252,0.0,0,131,0.6773,99.4,79.9801
1,Random Offloading,3000,59.445,0.045979,30.5344,40,131,0.6013,70.5,75.2443
1,Local Only,3000,44.621,0.059354,0.0,0,131,0.6805,99.5667,0.0
7,DT-FedDQL,3000,20.9714,0.030935,100.0,131,131,0.8531,13.7667,75.3777
7,FedDQL-Federated,3000,20.9714,0.030935,100.0,131,131,0.8531,13.7667,75.3777
7,Greedy,3000,43.3724,0.057779,83.9695,110,131,0.6986,94.6333,76.0236
7,MILP,3000,44.9186,0.058026,80.1527,105,131,0.689,95.9,75.4118
7,Centralized DQN,3000,45.3217,0.059287,0.7634,1,131,0.6761,99.5,79.9801
7,Random Offloading,3000,59.0887,0.046593,29.0076,38,131,0.6008,72.4,75.2135
7,Local Only,3000,44.7474,0.059354,0.0,0,131,0.6782,99.4333,0.0
21,DT-FedDQL,3000,21.2985,0.030979,100.0,131,131,0.8529,14.5333,75.3777
21,FedDQL-Federated,3000,21.2971,0.030978,98.4733,129,131,0.8529,14.6,75.3777
21,Greedy,3000,43.2976,0.057743,84.7328,111,131,0.6997,94.5,76.0236
21,MILP,3000,44.8819,0.058034,85.4962,112,131,0.689,95.6333,75.4118
21,Centralized DQN,3000,45.3365,0.059266,0.7634,1,131,0.6756,99.2667,79.9801
21,Random Offloading,3000,59.8045,0.046197,22.9008,30,131,0.5977,71.5,75.2505
21,Local Only,3000,44.8007,0.059354,0.0,0,131,0.6776,99.4333,0.0
42,DT-FedDQL,3000,20.947,0.030977,100.0,131,131,0.8532,15.3333,75.3777
42,FedDQL-Federated,3000,20.9464,0.030977,99.2366,130,131,0.8532,15.3667,75.3777
42,Greedy,3000,43.338,0.05775,84.7328,111,131,0.6991,94.5,76.0236
42,MILP,3000,44.8493,0.057999,80.916,106,131,0.6898,95.7333,75.4118
42,Centralized DQN,3000,45.2293,0.059265,0.0,0,131,0.6771,99.5333,79.9801
42,Random Offloading,3000,59.5072,0.046526,29.771,39,131,0.6013,71.6333,75.2156
42,Local Only,3000,44.6935,0.059354,0.0,0,131,0.6793,99.4,0.0
84,DT-FedDQL,3000,20.954,0.031055,100.0,131,131,0.853,15.3667,75.3777
84,FedDQL-Federated,3000,20.9533,0.031054,99.2366,130,131,0.853,15.4,75.3777
84,Greedy,3000,43.2877,0.057775,79.3893,104,131,0.7,94.6,76.0236
84,MILP,3000,44.8079,0.057991,85.4962,112,131,0.6903,95.5333,75.4118
84,Centralized DQN,3000,45.2049,0.059257,0.7634,1,131,0.6775,99.2333,79.9801
84,Random Offloading,3000,59.8204,0.045974,29.0076,38,131,0.5984,70.7667,75.2522
84,Local Only,3000,44.6537,0.059354,0.0,0,131,0.6797,99.4,0.0
