task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
0,FedServ,1,edge_1,0,0,0.3,0,0,1,36.0542215105769,20.456487468487243,0.028947640499531597,0.7410553161551314,0.7544831009437439,1,0.027781709851559887,0.0011659306479717098,1.2597496318817138,0.8818247423171997,,,0,0.155,0.0,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
1,FedServ,2,edge_2,0,0,0.3,0,0,1,36.0729218836755,25.544607871636256,0.03700492250693209,0.7410212736985143,0.7519357828568102,1,0.034508832455512756,0.0024960900514193305,1.1358982467651366,0.7951287727355956,,,0,0.155,0.0,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
2,FedServ,3,edge_3,0,0,0.3,0,0,1,36.14925695353124,34.252258377549296,0.048911063270512686,0.7412936133514515,0.7552840983750772,1,0.046448114082990176,0.0024629491875225087,1.298694372177124,0.9090860605239868,,,0,0.155,0.0,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
3,FedServ,1,edge_1,0,0,0.3,0,0,1,35.22968697102192,22.929207688534756,0.027061662885027583,0.7408510614154286,0.737864251951417,1,0.026644850497280187,0.0004168123877473945,0.4517361068725586,0.316215274810791,,,0,0.155,1.4969686678069556,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
4,FedServ,2,edge_2,0,0,0.3,0,0,1,35.73685205184709,22.258296302700174,0.035196351772033715,0.7410553161551314,0.7442782358641101,1,0.033876731891147045,0.0013196198808866685,0.7635859680175782,0.5345101776123047,,,0,0.155,2.377533872646495,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
5,FedServ,3,edge_3,0,0,0.3,0,0,1,35.99499748691157,35.726511817977915,0.04960844634981495,0.7415999954610057,0.756756666207459,1,0.04668407295134403,0.0029243733984709187,1.3702910709381104,0.9592037496566772,,,0,0.155,4.4147777015888705,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
6,FedServ,0,terminal,0,0,0.3,0,0,1,36.39844738560006,45.22364309843098,0.059052714380837895,0.540453899421562,0.48390660565461147,0,0.059052714380837895,0.0,1.6921179866790772,1.184482590675354,,,0,0.155,0.0,0,terminal,0,0,0.0,0.8,0.8048543834997426,0.845,1.0,0.6801019540572825,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
7,FedServ,1,edge_1,0,0,0.3,0,0,1,36.09107250072428,22.419993583160263,0.02946910730829137,0.7410553161551314,0.7592107544883026,1,0.02809688675453046,0.0013722205537609103,1.4896095943450929,1.042726716041565,,,0,0.155,3.212363562170889,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
8,FedServ,2,edge_2,0,0,0.3,0,0,1,36.031704857811725,27.658675395671743,0.03674593540002437,0.7413616982646858,0.757960135008144,1,0.035071145318383436,0.0016747900816409306,1.4288040924072265,1.0001628646850584,,,0,0.155,3.827259763567042,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
9,FedServ,3,edge_3,0,0,0.3,0,0,1,36.009942555216526,40.91545360126013,0.04834052826193515,0.7408851038720458,0.7512957417658264,0,0.04590850972154706,0.0024320185403880925,1.1047792530059815,0.773345477104187,,,0,0.155,8.616713269917016,3,edge_3,0,0,0.0,0.8,0.880106155149835,0.845,1.0,0.7436897011016106,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
10,FedServ,1,edge_1,0,0,0.3,0,0,1,35.4750542876774,19.913046299289494,0.028783641957981432,0.7499744397888233,0.7417354305387689,1,0.028195407672667892,0.0005882342853135402,0.6399539947509766,0.44796779632568356,,,0,0.155,3.199391281369281,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
11,FedServ,2,edge_2,0,0,0.3,0,0,1,36.43278484372693,30.64245658222672,0.03902191153541555,0.7435744579448001,0.7669391634303117,1,0.03621124054691767,0.002810670988497884,1.865367202758789,1.3057570419311524,,,0,0.155,4.199245248658517,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
12,FedServ,3,edge_3,0,0,0.3,0,0,1,35.65762109945663,42.52057513470183,0.047841305794295734,0.747795722565326,0.7429071687822297,0,0.04660811991483863,0.0012331858794571028,0.6969242668151856,0.4878469867706299,,,0,0.155,9.06570189978461,3,edge_3,0,0,0.0,0.8,0.8385968671989054,0.845,1.0,0.708614352783075,1,,,134940.6161,0.167596,0.207506,0.179545,0.228842,0.0,0.036627
