task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
0,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.0542215105769,39.93681796689364,0.058102602212967466,0.540703544103421,0.48020129205989326,0,0.058102602212967466,0.0,1.2597496318817138,0.8818247423171997,,,0,0.155,0.0,0,terminal,0,0,0.0,0.8,0.9027815270727054,0.845,1.0,0.7628503903764361,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
1,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.0729218836755,50.84242182405231,0.05779747186294786,0.5406808491323429,0.47913990952367086,0,0.05779747186294786,0.0,1.1358982467651366,0.7951287727355956,,,0,0.155,6.132930531926507,0,terminal,0,0,0.0,0.8,0.7095043978925937,0.845,1.0,0.5995312162192417,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
2,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.14925695353124,58.48100086051525,0.05825165459243101,0.5408624089009677,0.4805350409896154,0,0.05825165459243101,0.0,1.298694372177124,0.9090860605239868,,,0,0.155,13.010535017512305,0,terminal,0,0,0.0,0.8,0.6181367695767023,0.845,1.0,0.5223255702923134,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
3,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.22968697102192,52.61412843602773,0.056116077057932,0.5405673742769525,0.47327677164642373,0,0.056116077057932,0.0,0.4517361068725586,0.316215274810791,,,0,0.155,13.768454147043427,0,terminal,0,0,0.0,0.8,0.6695860602130255,0.845,1.0,0.5658002208800065,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
4,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.73685205184709,51.9293268480524,0.05691203462034353,0.540703544103421,0.4759492649433792,0,0.05691203462034353,0.0,0.7635859680175782,0.5345101776123047,,,0,0.155,12.9520707221575,0,terminal,0,0,0.0,0.8,0.6881824629927278,0.845,1.0,0.581514181228855,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
5,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,35.99499748691157,56.7214496142832,0.05849494333177156,0.5410666636406706,0.48114861091977457,0,0.05849494333177156,0.0,1.3702910709381104,0.9592037496566772,,,0,0.155,12.495709253989501,0,terminal,0,0,0.0,0.8,0.6345923408460908,0.845,1.0,0.5362305280149468,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
6,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.39844738560006,55.711901939360814,0.059052714380837895,0.540453899421562,0.48390660565461147,0,0.059052714380837895,0.0,1.6921179866790772,1.184482590675354,,,0,0.155,12.801956578111916,0,terminal,0,0,0.0,0.8,0.6533334192255303,0.845,1.0,0.5520667392455731,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
7,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.09107250072428,58.640132068717705,0.058654161793165974,0.540703544103421,0.48217114770345937,0,0.058654161793165974,0.0,1.4896095943450929,1.042726716041565,,,0,0.155,12.890642398961436,0,terminal,0,0,0.0,0.8,0.6154671080622873,0.845,1.0,0.5200697063126328,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
8,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.031704857811725,53.93543594983744,0.058579745346043474,0.5409077988431239,0.4816500562533933,0,0.058579745346043474,0.0,1.4288040924072265,1.0001628646850584,,,0,0.155,13.210087890961846,0,terminal,0,0,0.0,0.8,0.6680525376919721,0.845,1.0,0.5645043943497164,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
9,Fuzzy-DQL,0,terminal,0,0,0.3,0,0,1,36.009942555216526,54.833906065887916,0.05769102744282375,0.5405900692480305,0.47887322573576097,0,0.05769102744282375,0.0,1.1047792530059815,0.773345477104187,,,0,0.155,13.280811572163019,0,terminal,0,0,0.0,0.8,0.656709418292166,0.845,1.0,0.5549194584568803,1,,,144401.1635,0.006922,0.020766,0.090339,0.271017,0.0,0.217964
