algorithm,epoch,tier,node,workload,dt_count,compute_time_ms,timeliness,dtt_score,cpu_utilization,bandwidth_utilization,availability,node_status_code,node_status
DT-FedDQL,R5,Terminal,terminal-1,heavy,25,38.2224,0.6379,0.5945,54.15,8.8952,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-1,heavy,50,46.4399,0.6379,0.5945,60.15,13.3952,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-1,heavy,75,54.6573,0.5979,0.5826,66.15,17.8952,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-1,stringent,25,7.7094,0.8402,0.7296,48.93,8.8952,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-1,stringent,50,9.214,0.8402,0.7296,54.93,13.3952,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-1,stringent,75,10.7186,0.8002,0.715,60.93,17.8952,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-2,heavy,25,43.6035,0.6114,0.5697,59.91,10.4934,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-2,heavy,50,52.9352,0.6114,0.5697,65.91,14.9934,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-2,heavy,75,62.2669,0.5714,0.5583,71.91,19.4934,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-2,stringent,25,8.9532,0.8052,0.6992,54.69,10.4934,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-2,stringent,50,10.6618,0.8052,0.6992,60.69,14.9934,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-2,stringent,75,12.3704,0.7652,0.6852,66.69,19.4934,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-3,heavy,25,40.5964,0.6247,0.5821,57.03,9.6943,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-3,heavy,50,49.3014,0.6247,0.5821,63.03,14.1943,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-3,heavy,75,58.0063,0.5847,0.5705,69.03,18.6943,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-3,stringent,25,8.2733,0.8227,0.7144,51.81,9.6943,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-3,stringent,50,9.8672,0.8227,0.7144,57.81,14.1943,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-3,stringent,75,11.461,0.7827,0.7001,63.81,18.6943,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-4,heavy,25,46.2941,0.5981,0.5573,62.79,11.2925,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-4,heavy,50,56.1829,0.5981,0.5573,68.79,15.7925,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-4,heavy,75,66.0717,0.5581,0.5462,74.79,20.2925,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-4,stringent,25,9.5751,0.7877,0.684,57.57,11.2925,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-4,stringent,50,11.3857,0.7877,0.684,63.57,15.7925,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-4,stringent,75,13.1963,0.7477,0.6703,69.57,20.2925,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-5,heavy,25,35.6109,0.6512,0.6069,51.27,8.4956,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-5,heavy,50,43.2713,0.6512,0.6069,57.27,12.9956,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-5,heavy,75,50.9316,0.6112,0.5947,63.27,17.4956,0.98,1,degraded
DT-FedDQL,R5,Terminal,terminal-5,stringent,25,7.1666,0.8577,0.7448,46.05,8.4956,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-5,stringent,50,8.5692,0.8577,0.7448,52.05,12.9956,1.0,1,degraded
DT-FedDQL,R5,Terminal,terminal-5,stringent,75,9.9718,0.8177,0.7299,58.05,17.4956,0.98,1,degraded
DT-FedDQL,R5,Cloud,cloud-1,heavy,25,40.5161,0.6379,0.5945,68.55,30.0718,1.0,1,degraded
DT-FedDQL,R5,Cloud,cloud-1,heavy,50,48.3157,0.6379,0.5945,74.55,34.5718,1.0,1,degraded
DT-FedDQL,R5,Cloud,cloud-1,heavy,75,56.1154,0.5979,0.5826,80.55,39.0718,0.98,1,degraded
DT-FedDQL,R5,Cloud,cloud-1,stringent,25,11.5546,0.8402,0.7296,63.33,30.0718,1.0,1,degraded
DT-FedDQL,R5,Cloud,cloud-1,stringent,50,12.9827,0.8402,0.7296,69.33,34.5718,1.0,1,degraded
DT-FedDQL,R5,Cloud,cloud-1,stringent,75,14.4108,0.8002,0.715,75.33,39.0718,0.98,1,degraded
DT-FedDQL,R5,Edge,edge-1,heavy,25,28.9629,0.7044,0.6564,61.35,19.6833,1.0,2,healthy
DT-FedDQL,R5,Edge,edge-1,heavy,50,34.6733,0.7044,0.6564,67.35,24.1833,1.0,2,healthy
DT-FedDQL,R5,Edge,edge-1,heavy,75,40.3838,0.6644,0.6433,73.35,28.6833,0.98,2,healthy
DT-FedDQL,R5,Edge,edge-1,stringent,25,7.7589,0.9277,0.8056,56.13,19.6833,1.0,2,healthy
DT-FedDQL,R5,Edge,edge-1,stringent,50,8.8045,0.9277,0.8056,62.13,24.1833,1.0,2,healthy
DT-FedDQL,R5,Edge,edge-1,stringent,75,9.8501,0.8877,0.7895,68.13,28.6833,0.98,2,healthy
DT-FedDQL,R5,Edge,edge-2,heavy,25,33.0778,0.6778,0.6316,65.67,21.2815,1.0,1,degraded
DT-FedDQL,R5,Edge,edge-2,heavy,50,39.624,0.6778,0.6316,71.67,25.7815,1.0,1,degraded
DT-FedDQL,R5,Edge,edge-2,heavy,75,46.1701,0.6378,0.619,77.67,30.2815,0.98,1,degraded
DT-FedDQL,R5,Edge,edge-2,stringent,25,8.7709,0.8927,0.7752,60.45,21.2815,1.0,1,degraded
DT-FedDQL,R5,Edge,edge-2,stringent,50,9.9694,0.8927,0.7752,66.45,25.7815,1.0,1,degraded
DT-FedDQL,R5,Edge,edge-2,stringent,75,11.168,0.8527,0.7597,72.45,30.2815,0.98,1,degraded
DT-FedDQL,R5,Edge,edge-3,heavy,25,37.8259,0.6034,0.5543,74.31,22.8798,0.973,1,degraded
DT-FedDQL,R5,Edge,edge-3,heavy,50,45.347,0.6034,0.5543,80.31,27.3798,0.973,1,degraded
DT-FedDQL,R5,Edge,edge-3,heavy,75,52.868,0.5634,0.5429,86.31,31.8798,0.953,1,degraded
DT-FedDQL,R5,Edge,edge-3,stringent,25,9.8987,0.7972,0.6803,69.09,22.8798,0.973,1,degraded
DT-FedDQL,R5,Edge,edge-3,stringent,50,11.2758,0.7972,0.6803,75.09,27.3798,0.973,1,degraded
DT-FedDQL,R5,Edge,edge-3,stringent,75,12.6529,0.7572,0.6663,81.09,31.8798,0.953,1,degraded
DT-FedDQL,R5,On-premises,on-prem-1,heavy,25,49.2218,0.5382,0.4921,78.63,16.4868,0.946,1,degraded
DT-FedDQL,R5,On-premises,on-prem-1,heavy,50,59.5285,0.5382,0.4921,84.63,20.9868,0.946,1,degraded
DT-FedDQL,R5,On-premises,on-prem-1,heavy,75,69.8351,0.4982,0.4817,90.63,25.4868,0.926,1,degraded
