task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
0,Random,0,terminal,0,0,0.3,0,0,1,36.0542215105769,39.93681796689364,0.058102602212967466,0.540703544103421,0.48020129205989326,0,0.058102602212967466,0.0,1.2597496318817138,0.8818247423171997,,,0,0.155,0.0,0,terminal,0,0,0.0,0.8,0.9027815270727054,0.845,1.0,0.7628503903764361,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
1,Random,3,edge_3,0,0,0.3,0,0,1,36.0729218836755,33.574929628068006,0.0477782485358602,0.7410212736985143,0.7519357828568102,1,0.04601177660735034,0.0017664719285098596,1.1358982467651366,0.7951287727355956,,,0,0.155,0.0,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
2,Random,3,edge_3,0,0,0.3,0,0,1,36.14925695353124,34.428408697141606,0.050019690604630525,0.7412936133514515,0.7552840983750772,1,0.046448114082990176,0.0035715765216403506,1.298694372177124,0.9090860605239868,,,0,0.155,4.231117957315469,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
3,Random,2,edge_2,0,0,0.3,0,0,1,35.22968697102192,24.611724854762734,0.03379013488287574,0.7408510614154286,0.737864251951417,1,0.033306063121600234,0.00048407176127550534,0.4517361068725586,0.316215274810791,,,0,0.155,0.0,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
4,Random,2,edge_2,0,0,0.3,0,0,1,35.73685205184709,25.104805767198144,0.03465614494584679,0.7410553161551314,0.7442782358641101,1,0.033876731891147045,0.0007794130546997434,0.7635859680175782,0.5345101776123047,,,0,0.155,2.1995744009329576,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
5,Random,4,cloud,0,0,0.3,0,0,1,35.99499748691157,102.62498758668274,0.044531437371769775,0.46133332955083817,0.6645944436790983,0,0.041860887995512255,0.002670549376257521,1.3702910709381104,0.9592037496566772,,,0,0.155,0.0,4,cloud,0,0,0.0,0.8,0.35074301428302934,0.845,1.0,0.29637784706915976,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
6,Random,0,terminal,0,0,0.3,0,0,1,36.39844738560006,52.413568308400386,0.059052714380837895,0.540453899421562,0.48390660565461147,0,0.059052714380837895,0.0,1.6921179866790772,1.184482590675354,,,0,0.155,6.132930531926507,0,terminal,0,0,0.0,0.8,0.6944470403433005,0.845,1.0,0.5868077490900889,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
7,Random,3,edge_3,0,0,0.3,0,0,1,36.09107250072428,42.65103312094696,0.04993500680411408,0.7410553161551314,0.7592107544883026,0,0.0468281445908841,0.0031068622132299755,1.4896095943450929,1.042726716041565,,,0,0.155,8.607997114024686,3,edge_3,0,0,0.0,0.8,0.8461945669259551,0.845,1.0,0.715034409052432,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
8,Random,1,edge_1,0,0,0.3,0,0,1,36.031704857811725,17.70605941671749,0.029520796768718494,0.7413616982646858,0.757960135008144,1,0.028056916254706746,0.001463880514011747,1.4288040924072265,1.0001628646850584,,,0,0.155,0.0,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
9,Random,0,terminal,0,0,0.3,0,0,1,36.009942555216526,56.656747284864295,0.05769102744282375,0.5405900692480305,0.47887322573576097,0,0.05769102744282375,0.0,1.1047792530059815,0.773345477104187,,,0,0.155,13.575463138168022,0,terminal,0,0,0.0,0.8,0.6355808316026729,0.845,1.0,0.5370658027042585,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
10,Random,2,edge_2,0,0,0.3,0,0,1,35.4750542876774,25.069184570669165,0.03598414521599419,0.7499744397888233,0.7417354305387689,1,0.03524425959083487,0.0007398856251593204,0.6399539947509766,0.44796779632568356,,,0,0.155,4.220568707108051,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
11,Random,4,cloud,0,0,0.3,0,0,1,36.43278484372693,120.00334448160535,0.04951802358731486,0.46297871495400017,0.6815652723838529,0,0.04358053908058826,0.0059374845067266,1.865367202758789,1.3057570419311524,,,0,0.155,0.0033444816053511705,4,cloud,0,0,0.0,0.8,0.30359807887947243,0.845,1.0,0.2565403766531542,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
12,Random,3,edge_3,0,0,0.3,0,0,1,35.65762109945663,42.610966800432784,0.048980022790708184,0.747795722565326,0.7429071687822297,0,0.04660811991483863,0.002371902875869554,0.6969242668151856,0.4878469867706299,,,0,0.155,8.029701151445416,3,edge_3,0,0,0.0,0.8,0.8368179315540539,0.845,1.0,0.7071111521631755,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
13,Random,3,edge_3,0,0,0.3,0,0,1,35.84989011391578,43.753257612294746,0.05131725422501716,0.7489531660903089,0.7601327300998818,0,0.04879535644908759,0.002521897775929563,1.5344363307952882,1.0741054315567016,,,0,0.155,10.751158902662285,3,edge_3,0,0,0.0,0.8,0.819365050062967,0.845,1.0,0.6923634673032071,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
14,Random,3,edge_3,0,0,0.3,0,0,1,35.35340036530016,45.15729209543285,0.04729970282774787,0.7471148734329831,0.7407244418963729,0,0.04620483866016246,0.001094864167585411,0.5907994174957275,0.4135595922470092,,,0,0.155,13.039377414984127,3,edge_3,0,0,0.0,0.8,0.7828946051633543,0.845,1.0,0.6615459413630344,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
15,Random,3,edge_3,0,0,0.3,0,1,1,35.96725785322477,48.176239660053206,0.051996198169362344,0.7523574117520234,0.7587433177506383,0,0.04944475752485423,0.002551440644508114,1.466882677078247,1.0268178739547729,,,0,0.155,15.034402066384814,3,edge_3,0,0,0.0,0.8,0.7465766964591078,0.845,1.0,0.6308573085079461,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
16,Random,2,edge_2,0,0,0.3,0,0,1,35.36346110252257,25.109917938421813,0.03663946197427687,0.7474893404557718,0.7482737069331219,1,0.03534904628346974,0.0012904156908071288,0.9578469944000244,0.670492896080017,,,0,0.155,3.015576194635894,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
17,Random,0,terminal,0,0,0.3,0,0,1,36.50324041042136,69.7892054656526,0.06184165010319534,0.5473304756582251,0.4852713700814877,0,0.06184165010319534,0.0,1.851370620727539,1.2959594345092773,,,0,0.155,13.56879542458937,0,terminal,0,0,0.0,0.8,0.5230499497287839,0.845,1.0,0.4419772075208224,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
18,Random,4,cloud,0,0,0.3,0,0,1,35.59852967913749,100.11433061898146,0.04481865525939948,0.46700707232036226,0.652083892118429,0,0.042108267279954,0.0027103879794454794,1.0053309631347656,0.7037316741943358,,,0,0.155,0.003430531732418525,4,cloud,0,0,0.0,0.8,0.35557876139250827,0.845,1.0,0.3004640533766695,1,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
19,Random,2,edge_2,0,0,0.3,0,0,1,35.525930956250924,25.71785352708674,0.037977044974719244,0.7477616801087089,0.7504324877607907,1,0.035577171499316426,0.0023998734754028172,1.0628075790405274,0.7439653053283691,,,0,0.155,3.2495929129786107,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
20,Random,2,edge_2,0,0,0.3,0,0,1,35.79995407435488,29.613014854596678,0.038806777069548715,0.7441872221639088,0.7606808804825888,1,0.03579822729840791,0.0030085497711408045,1.5610875701904297,1.0927612991333007,,,0,0.155,3.911462536204002,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
21,Random,1,edge_1,0,0,0.3,0,0,1,35.78412816110282,20.122859199972158,0.029112580122826692,0.7430978635521601,0.7491799695744898,1,0.027717528641522014,0.0013950514813046763,1.001909761428833,0.7013368330001831,,,0,0.155,1.11056064264277,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134985.8416,0.116551,0.142392,0.150405,0.260167,0.004512,0.050438
