task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,queue_wait_ms,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,horizon_ms,edge_utilisation_mean,edge_utilisation_max,edge_rho_mean,edge_rho_max,cloud_utilisation,terminal_utilisation_mean
0,Round-Robin,1,edge_1,0,0,0.3,0,0,1,36.0542215105769,20.456487468487243,0.028947640499531597,0.7410553161551314,0.7544831009437439,1,0.027781709851559887,0.0011659306479717098,1.2597496318817138,0.8818247423171997,,,0,0.155,0.0,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
1,Round-Robin,2,edge_2,0,0,0.3,0,0,1,36.0729218836755,25.544607871636256,0.03700492250693209,0.7410212736985143,0.7519357828568102,1,0.034508832455512756,0.0024960900514193305,1.1358982467651366,0.7951287727355956,,,0,0.155,0.0,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
2,Round-Robin,3,edge_3,0,0,0.3,0,0,1,36.14925695353124,34.252258377549296,0.048911063270512686,0.7412936133514515,0.7552840983750772,1,0.046448114082990176,0.0024629491875225087,1.298694372177124,0.9090860605239868,,,0,0.155,0.0,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
3,Round-Robin,1,edge_1,0,0,0.3,0,0,1,35.22968697102192,22.929207688534756,0.027061662885027583,0.7408510614154286,0.737864251951417,1,0.026644850497280187,0.0004168123877473945,0.4517361068725586,0.316215274810791,,,0,0.155,1.4969686678069556,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
4,Round-Robin,2,edge_2,0,0,0.3,0,0,1,35.73685205184709,22.258296302700174,0.035196351772033715,0.7410553161551314,0.7442782358641101,1,0.033876731891147045,0.0013196198808866685,0.7635859680175782,0.5345101776123047,,,0,0.155,2.377533872646495,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
5,Round-Robin,3,edge_3,0,0,0.3,0,0,1,35.99499748691157,35.726511817977915,0.04960844634981495,0.7415999954610057,0.756756666207459,1,0.04668407295134403,0.0029243733984709187,1.3702910709381104,0.9592037496566772,,,0,0.155,4.4147777015888705,3,edge_3,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
6,Round-Robin,1,edge_1,0,0,0.3,0,0,1,36.39844738560006,27.10377610893604,0.029993776004916362,0.7406808491323429,0.7633758535710675,1,0.028321510531819746,0.0016722654730966157,1.6921179866790772,1.184482590675354,,,0,0.155,3.3990483697624105,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
7,Round-Robin,2,edge_2,0,0,0.3,0,0,1,36.09107250072428,31.068031958069245,0.03737187796233514,0.7410553161551314,0.7592107544883026,1,0.035121108443163074,0.0022507695191720696,1.4896095943450929,1.042726716041565,,,0,0.155,4.052768866817195,2,edge_2,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
8,Round-Robin,3,edge_3,0,0,0.3,0,0,1,36.031704857811725,38.00401372424716,0.049279868546009596,0.7413616982646858,0.757960135008144,0,0.04676152709117791,0.002518341454831685,1.4288040924072265,1.0001628646850584,,,0,0.155,9.168039409718359,3,edge_3,0,0,0.0,0.8,0.9481026167197422,0.845,1.0,0.8011467111281821,1,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
9,Round-Robin,1,edge_1,0,0,0.3,0,0,1,36.009942555216526,25.736041399633166,0.028514165978860175,0.7408851038720458,0.7512957417658264,1,0.027545105832928234,0.0009690601459319401,1.1047792530059815,0.773345477104187,,,0,0.155,4.225513906761734,1,edge_1,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,134987.0381,0.19778,0.244653,0.207099,0.256142,0.0,0.0
